"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Pablo Picasso","Spanish",67,1978,2,16869,1," Cubism "," Cubism "
"The James Thrall Soby Bequest","1979-03-22","1979-05-09","Pablo Picasso","Spanish",48,1979,3,16869,1," Cubism "," Cubism "
"Selection From Art Lending Service","1980-03-23","1980-05-12","Pablo Picasso","Spanish",50,1980,4,16869,1," Cubism "," Cubism "
"Recent Acquisitions: Drawings","1981-03-19","1981-06-02","Pablo Picasso","Spanish",75,1981,4,16869,1," Cubism "," Cubism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Pablo Picasso","Spanish",15,1982,1,16869,1," Cubism "," Cubism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Pablo Picasso","Spanish",73,1983,3,16869,1," Cubism "," Cubism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Pablo Picasso","Spanish",NA,1984,4,16869,1," Cubism "," Cubism "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","Pablo Picasso","Spanish",110,1989,6,16869,1," Cubism "," Cubism "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Pablo Picasso","Spanish",54,1952,8,16869,1," Cubism "," Cubism "
"New Acquisitions","1953-02-11","1953-03-15","Pablo Picasso","Spanish",32,1953,3,16869,1," Cubism "," Cubism "
"Faces and Figures: Drawings from the Collection of The Museum of Modern Art","1954-04-21","1954-06-06","Pablo Picasso","Spanish",46,1954,3,16869,1," Cubism "," Cubism "
"Painting and Sculpture from the Museum Collection: New Acquisitions","1955-03-05","1955-04-24","Pablo Picasso","Spanish",50,1955,6,16869,1," Cubism "," Cubism "
"Textiles U.S.A.","1956-08-29","1956-11-04","Pablo Picasso","Spanish",67,1956,2,16869,1," Cubism "," Cubism "
"Permanent Collection","1972-03-29",NA,"Marc Chagall","French",NA,1972,3,7278,9," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1969-04-28","1969-11-04","Marc Chagall","French",190,1969,3,7278,9," Academic Art "," Academic Art "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Marc Chagall","French",112,1935,1,7278,9," Academic Art "," Academic Art "
"Naked/Nude","1986-05-29","1986-09-30","Marc Chagall","French",124,1986,1,7278,9," Academic Art "," Academic Art "
"Master Prints from the Collection","1989-04-06","1989-08-08","Marc Chagall","French",124,1989,4,7278,9," Academic Art "," Academic Art "
"Color Reproductions: Modern Watercolors and Pastels","1934-08-13","1934-09-21","Marc Chagall","French",39,1934,2,7278,9," Academic Art "," Academic Art "
"What is Modern Painting?","1945-03-06","1945-03-25","Marc Chagall","French",19,1945,2,7278,9," Academic Art "," Academic Art "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Marc Chagall","French",75,1946,4,7278,9," Academic Art "," Academic Art "
"Large-Scale Modern Paintings","1947-04-01","1947-05-04","Marc Chagall","French",33,1947,1,7278,9," Academic Art "," Academic Art "
"Portraits in Prints","1948-06-01","1948-09-06","Marc Chagall","French",97,1948,2,7278,9," Academic Art "," Academic Art "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","Marc Chagall","French",30,1949,3,7278,9," Academic Art "," Academic Art "
"Modern Bible Illustration","1951-07-18","1951-08-19","Marc Chagall","French",32,1951,1,7278,9," Academic Art "," Academic Art "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Marc Chagall","French",54,1952,2,7278,9," Academic Art "," Academic Art "
"Edward G. Robinson Collection","1953-03-03","1953-04-12","Marc Chagall","French",40,1953,1,7278,9," Academic Art "," Academic Art "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Marc Chagall","French",110,1954,2,7278,9," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection: New Acquisitions","1955-03-05","1955-04-24","Marc Chagall","French",50,1955,1,7278,9," Academic Art "," Academic Art "
"Textiles U.S.A.","1956-08-29","1956-11-04","Marc Chagall","French",67,1956,1,7278,9," Academic Art "," Academic Art "
"Travel Posters","1957-03-06","1957-04-07","Marc Chagall","French",32,1957,2,7278,9," Academic Art "," Academic Art "
"Second Floor Permanent Collection","1958-10-08",NA,"Marc Chagall","French",NA,1958,1,7278,9," Academic Art "," Academic Art "
"Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art","1960-04-20",NA,"Marc Chagall","French",NA,1960,3,7278,9," Academic Art "," Academic Art "
"Modern Allegories","1961-08-19","1962-01-30","Marc Chagall","French",164,1961,2,7278,9," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Marc Chagall","French",NA,1964,2,7278,9," Academic Art "," Academic Art "
"Chagall: Aleko","1966-12-14","1967-02-26","Marc Chagall","French",74,1966,1,7278,9," Academic Art "," Academic Art "
"The Artist as His Subject","1967-04-28","1967-04-30","Marc Chagall","French",2,1967,2,7278,9," Academic Art "," Academic Art "
"Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","1968-01-25","1968-03-10","Marc Chagall","French",45,1968,2,7278,9," Academic Art "," Academic Art "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Marc Chagall","French",NA,1984,2,7278,9," Academic Art "," Academic Art "
"Painting in Paris","1930-01-19","1930-03-02","Marc Chagall","French",42,1930,2,7278,9," Academic Art "," Academic Art "
"Works on Paper","1973-03-07","1973-06-04","Marc Chagall","French",89,1973,4,7278,9," Academic Art "," Academic Art "
"Recent Acquisitions: Painting and Sculpture","1974-03-01","1974-03-24","Marc Chagall","French",23,1974,2,7278,9," Academic Art "," Academic Art "
"Points of View","1975-03-07","1975-06-08","Marc Chagall","French",93,1975,2,7278,9," Academic Art "," Academic Art "
"Prints from the Collection","1976-05-14","1976-08-08","Marc Chagall","French",86,1976,2,7278,9," Academic Art "," Academic Art "
"Impresario: Ambroise Vollard","1977-06-06","1977-09-06","Marc Chagall","French",92,1977,2,7278,9," Academic Art "," Academic Art "
"Nine Windows by Chagall","1978-04-13","1978-05-30","Marc Chagall","French",47,1978,4,7278,9," Academic Art "," Academic Art "
"Art of the Twenties","1979-11-14","1980-01-22","Marc Chagall","French",69,1979,2,7278,9," Academic Art "," Academic Art "
"Around Picasso","1980-05-14","1980-09-30","Marc Chagall","French",139,1980,3,7278,9," Academic Art "," Academic Art "
"Words and Pictures","1981-08-20","1981-10-06","Marc Chagall","French",47,1981,1,7278,9," Academic Art "," Academic Art "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Marc Chagall","French",15,1982,2,7278,9," Academic Art "," Academic Art "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Marc Chagall","French",73,1983,3,7278,9," Academic Art "," Academic Art "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Marc Chagall","French",60,1942,3,7278,9," Academic Art "," Academic Art "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Marc Chagall","French",33,1936,4,7278,9," Academic Art "," Academic Art "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Marc Chagall","French",145,1932,2,7278,9," Academic Art "," Academic Art "
"Animals in Art; Designing a Stage Setting","1941-07-01","1941-07-15","Marc Chagall","French",14,1941,1,7278,9," Academic Art "," Academic Art "
"Modern Drawings","1944-02-16","1944-05-10","Marc Chagall","French",84,1944,5,7278,9," Academic Art "," Academic Art "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Marc Chagall","French",143,1939,1,7278,9," Academic Art "," Academic Art "
"French Paintings from the Molyneux Collection","1952-06-24","1952-09-07","Paul Gauguin","French",75,1952,3,5442,34," Post-Impressionism "," Post-Impressionism "
"Edward G. Robinson Collection","1953-03-03","1953-04-12","Paul Gauguin","French",40,1953,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Three Modern Styles","1950-07-11","1950-09-05","Paul Gauguin","French",56,1950,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Selections from 5 New York Private Collections","1951-06-26","1951-09-09","Paul Gauguin","French",75,1951,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Cézanne, Gauguin, Seurat, Van Gogh","1929-11-07","1929-12-07","Paul Gauguin","French",30,1929,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Summer Exhibition: Painting and Sculpture","1930-06-15","1930-09-28","Paul Gauguin","French",105,1930,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Memorial Exhibition: The Collection of the Late Lillie P. Bliss","1931-05-17","1931-10-06","Paul Gauguin","French",142,1931,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Paul Gauguin","French",145,1932,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Paul Gauguin","French",82,1933,3,5442,34," Post-Impressionism "," Post-Impressionism "
"The Lillie P. Bliss Collection, 1934","1934-05-14","1934-09-12","Paul Gauguin","French",121,1934,3,5442,34," Post-Impressionism "," Post-Impressionism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Paul Gauguin","French",112,1935,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Paul Gauguin","French",48,1936,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","Paul Gauguin","French",134,1937,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Paul Gauguin","French",143,1939,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","Paul Gauguin","French",51,1940,4,5442,34," Post-Impressionism "," Post-Impressionism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Paul Gauguin","French",6,1941,4,5442,34," Post-Impressionism "," Post-Impressionism "
"How Modern Artists Paint People","1942-09-22","1942-10-13","Paul Gauguin","French",21,1942,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Modern Drawings","1944-02-16","1944-05-10","Paul Gauguin","French",84,1944,2,5442,34," Post-Impressionism "," Post-Impressionism "
"What is Modern Painting?","1945-03-06","1945-03-25","Paul Gauguin","French",19,1945,2,5442,34," Post-Impressionism "," Post-Impressionism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Paul Gauguin","French",75,1946,3,5442,34," Post-Impressionism "," Post-Impressionism "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","Paul Gauguin","French",30,1949,4,5442,34," Post-Impressionism "," Post-Impressionism "
"Symbolism, Synthesists, and the Fin-de-Siècle","1972-06-20","1972-10-10","Paul Gauguin","French",112,1972,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Prints from the Collection","1976-05-14","1976-08-08","Paul Gauguin","French",86,1976,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Extraordinary Men","1977-06-02","1977-07-17","Paul Gauguin","French",45,1977,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Artists and Writers","1978-07-10","1978-10-03","Paul Gauguin","French",85,1978,1,5442,34," Post-Impressionism "," Post-Impressionism "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Paul Gauguin","French",110,1954,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Fifteen Paintings by French Masters of the 19th Century from the Louvre and the Museums of Albi and Lyon","1955-02-25","1955-04-24","Paul Gauguin","French",58,1955,3,5442,34," Post-Impressionism "," Post-Impressionism "
"Renoir's Reclining Nude","1956-06-24",NA,"Paul Gauguin","French",NA,1956,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Works of Art: Given or Promised","1958-10-08","1958-11-09","Paul Gauguin","French",32,1958,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Art Nouveau","1960-06-08","1960-09-06","Paul Gauguin","French",90,1960,1,5442,34," Post-Impressionism "," Post-Impressionism "
"The Mrs. Adele R. Levy Collection: A Memorial Exhibition","1961-06-09","1961-07-16","Paul Gauguin","French",37,1961,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Paul Gauguin","French",NA,1964,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Paul J. Sachs Gallery Print Re-installation","1966-03-03",NA,"Paul Gauguin","French",NA,1966,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Paul Gauguin","French",96,1969,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Women of the Nineties: Fin-de-Siècle Prints","1979-11-28","1980-01-28","Paul Gauguin","French",61,1979,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Masterpieces from the Collection: Selections from the Late Nineteenth- and Early Twentieth-Centuries","1980-10-25","1981-01-27","Paul Gauguin","French",94,1980,2,5442,34," Post-Impressionism "," Post-Impressionism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Paul Gauguin","French",15,1982,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Paul Gauguin","French",73,1983,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Paul Gauguin","French",NA,1984,2,5442,34," Post-Impressionism "," Post-Impressionism "
"The Expressionist Idiom","1985-05-06","1985-12-18","Paul Gauguin","French",226,1985,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Naked/Nude","1986-05-29","1986-09-30","Paul Gauguin","French",124,1986,1,5442,34," Post-Impressionism "," Post-Impressionism "
"Gaugin and his Circle in Brittany: The Prints of the Pont-Aven School","1987-05-22","1987-07-26","Paul Gauguin","French",65,1987,2,5442,34," Post-Impressionism "," Post-Impressionism "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","Paul Gauguin","French",110,1989,3,5442,34," Post-Impressionism "," Post-Impressionism "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","Paul Klee","German",30,1949,4,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions","1950-01-31","1950-05-07","Paul Klee","German",96,1950,2,9663,3," Expressionism "," Expressionism "
"Selections from 5 New York Private Collections","1951-06-26","1951-09-09","Paul Klee","German",75,1951,1,9663,3," Expressionism "," Expressionism "
"New York Private Collections","1948-07-20","1948-09-12","Paul Klee","German",54,1948,3,9663,3," Expressionism "," Expressionism "
"Weber, Klee, Lehmbruck, Maillol","1930-03-12","1930-04-02","Paul Klee","German",21,1930,2,9663,3," Expressionism "," Expressionism "
"German Painting and Sculpture","1931-03-12","1931-04-22","Paul Klee","German",41,1931,1,9663,3," Expressionism "," Expressionism "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Paul Klee","German",145,1932,2,9663,3," Expressionism "," Expressionism "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Paul Klee","German",82,1933,2,9663,3," Expressionism "," Expressionism "
"New Acquisitions: Lachaise Torso; Prints","1934-07-11","1934-09-13","Paul Klee","German",64,1934,3,9663,3," Expressionism "," Expressionism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Paul Klee","German",112,1935,1,9663,3," Expressionism "," Expressionism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Paul Klee","German",33,1936,3,9663,3," Expressionism "," Expressionism "
"Twelve Modern Paintings","1937-04-28","1937-05-30","Paul Klee","German",32,1937,1,9663,3," Expressionism "," Expressionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Paul Klee","German",143,1939,1,9663,3," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Paul Klee","German",6,1941,6,9663,3," Expressionism "," Expressionism "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Paul Klee","German",60,1942,1,9663,3," Expressionism "," Expressionism "
"Modern Drawings","1944-02-16","1944-05-10","Paul Klee","German",84,1944,3,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions","1945-02-15","1945-03-18","Paul Klee","German",31,1945,4,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions in Painting and Sculpture","1946-02-06","1946-02-24","Paul Klee","German",18,1946,6,9663,3," Expressionism "," Expressionism "
"Lettering by Hand","1962-11-06","1963-01-06","Paul Klee","German",61,1962,1,9663,3," Expressionism "," Expressionism "
"60 Modern Drawings: Recent Acquisitions","1963-08-06","1963-09-29","Paul Klee","German",54,1963,1,9663,3," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Paul Klee","German",NA,1964,2,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions: Painting and Sculpture","1965-02-16","1965-04-25","Paul Klee","German",68,1965,2,9663,3," Expressionism "," Expressionism "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Paul Klee","German",189,1966,2,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions","1952-05-06","1952-06-08","Paul Klee","German",33,1952,2,9663,3," Expressionism "," Expressionism "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","Paul Klee","German",103,1953,1,9663,3," Expressionism "," Expressionism "
"Prints by Paul Klee","1954-07-07","1954-09-19","Paul Klee","German",74,1954,3,9663,3," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection: New Acquisitions","1955-03-05","1955-04-24","Paul Klee","German",50,1955,3,9663,3," Expressionism "," Expressionism "
"Drawings Recently Acquired for the Museum Collection","1957-01-29","1957-02-24","Paul Klee","German",26,1957,3,9663,3," Expressionism "," Expressionism "
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss","1958-04-23","1958-05-18","Paul Klee","German",25,1958,5,9663,3," Expressionism "," Expressionism "
"Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art","1960-04-20",NA,"Paul Klee","German",NA,1960,4,9663,3," Expressionism "," Expressionism "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Paul Klee","German",31,1961,2,9663,3," Expressionism "," Expressionism "
"Points of View","1975-03-07","1975-06-08","Paul Klee","German",93,1975,2,9663,3," Expressionism "," Expressionism "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Paul Klee","German",90,1976,5,9663,3," Expressionism "," Expressionism "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Paul Klee","German",67,1978,2,9663,3," Expressionism "," Expressionism "
"Paul Klee Centennial: Prints and Transfer Drawings","1979-01-08","1979-04-03","Paul Klee","German",85,1979,3,9663,3," Expressionism "," Expressionism "
"Masterpieces from the Collection: Selections from the Late Nineteenth- and Early Twentieth-Centuries","1980-10-25","1981-01-27","Paul Klee","German",94,1980,2,9663,3," Expressionism "," Expressionism "
"Members Collect","1967-03-27","1967-05-25","Paul Klee","German",59,1967,2,9663,3," Expressionism "," Expressionism "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Paul Klee","German",47,1968,4,9663,3," Expressionism "," Expressionism "
"Drawings: Recent Acquisitions","1969-02-18","1969-03-30","Paul Klee","German",40,1969,4,9663,3," Expressionism "," Expressionism "
"Recent Acquisitons VI","1970-06-05","1970-09-13","Paul Klee","German",100,1970,1,9663,3," Expressionism "," Expressionism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Paul Klee","German",161,1971,3,9663,3," Expressionism "," Expressionism "
"Permanent Collection","1972-03-29",NA,"Paul Klee","German",NA,1972,2,9663,3," Expressionism "," Expressionism "
"Works on Paper","1973-03-07","1973-06-04","Paul Klee","German",89,1973,2,9663,3," Expressionism "," Expressionism "
"Gods, Heroes, and Shepherds","1974-08-23","1974-11-10","Paul Klee","German",79,1974,2,9663,3," Expressionism "," Expressionism "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","Paul Klee","German",110,1989,4,9663,3," Expressionism "," Expressionism "
"Recent Acquisitions: Drawings","1981-03-19","1981-06-02","Paul Klee","German",75,1981,2,9663,3," Expressionism "," Expressionism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Paul Klee","German",15,1982,1,9663,3," Expressionism "," Expressionism "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Paul Klee","German",69,1983,1,9663,3," Expressionism "," Expressionism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Paul Klee","German",NA,1984,3,9663,3," Expressionism "," Expressionism "
"The Expressionist Idiom","1985-05-06","1985-12-18","Paul Klee","German",226,1985,3,9663,3," Expressionism "," Expressionism "
"Naked/Nude","1986-05-29","1986-09-30","Paul Klee","German",124,1986,1,9663,3," Expressionism "," Expressionism "
"Paul Klee","1987-02-04","1987-05-05","Paul Klee","German",90,1987,5,9663,3," Expressionism "," Expressionism "
"Abstractions","1988-11-17","1989-03-26","Paul Klee","German",129,1988,1,9663,3," Expressionism "," Expressionism "
"New Acquisitions: Gifts of the Advisory Committee","1937-02-10","1937-03-07","Pavel Tchelitchew","American",25,1937,1,4550,50," Surrealism "," Surrealism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Pavel Tchelitchew","American",143,1939,1,4550,50," Surrealism "," Surrealism "
"Tchelitchew: Paintings and Drawings","1942-10-28","1942-11-29","Pavel Tchelitchew","American",32,1942,3,4550,50," Surrealism "," Surrealism "
"Modern Drawings","1944-02-16","1944-05-10","Pavel Tchelitchew","American",84,1944,3,4550,50," Surrealism "," Surrealism "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Pavel Tchelitchew","American",82,1933,2,4550,50," Surrealism "," Surrealism "
"46 Painters and Sculptors under 35 Years of Age","1930-04-11","1930-04-27","Pavel Tchelitchew","American",16,1930,2,4550,50," Surrealism "," Surrealism "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Pavel Tchelitchew","American",31,1961,2,4550,50," Surrealism "," Surrealism "
"Fifty Drawings: Recent Acquisitions","1962-04-10","1962-08-12","Pavel Tchelitchew","American",124,1962,1,4550,50," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Pavel Tchelitchew","American",NA,1964,1,4550,50," Surrealism "," Surrealism "
"John S. Newberry: A Memorial Exhibition","1965-04-13","1965-07-14","Pavel Tchelitchew","American",92,1965,1,4550,50," Surrealism "," Surrealism "
"Works from the Museum Collection of Dance and Theatre Design","1945-05-02","1945-08-01","Pavel Tchelitchew","American",91,1945,3,4550,50," Surrealism "," Surrealism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Pavel Tchelitchew","American",75,1946,2,4550,50," Surrealism "," Surrealism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Pavel Tchelitchew","American",47,1947,1,4550,50," Surrealism "," Surrealism "
"New Acquisitions","1948-01-13","1948-03-21","Pavel Tchelitchew","American",68,1948,2,4550,50," Surrealism "," Surrealism "
"Modern Art in Your Life","1949-10-05","1949-12-04","Pavel Tchelitchew","American",60,1949,1,4550,50," Surrealism "," Surrealism "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Pavel Tchelitchew","American",54,1952,2,4550,50," Surrealism "," Surrealism "
"Faces and Figures: Drawings from the Collection of The Museum of Modern Art","1954-04-21","1954-06-06","Pavel Tchelitchew","American",46,1954,2,4550,50," Surrealism "," Surrealism "
"Drawings Recently Acquired for the Museum Collection","1957-01-29","1957-02-24","Pavel Tchelitchew","American",26,1957,1,4550,50," Surrealism "," Surrealism "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","Pavel Tchelitchew","American",137,1960,3,4550,50," Surrealism "," Surrealism "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Pavel Tchelitchew","American",90,1976,2,4550,50," Surrealism "," Surrealism "
"Extraordinary Men","1977-06-02","1977-07-17","Pavel Tchelitchew","American",45,1977,2,4550,50," Surrealism "," Surrealism "
"Artists and Writers","1978-07-10","1978-10-03","Pavel Tchelitchew","American",85,1978,2,4550,50," Surrealism "," Surrealism "
"Gifts of Drawing","1979-08-09","1979-11-13","Pavel Tchelitchew","American",96,1979,2,4550,50," Surrealism "," Surrealism "
"The Taste of a Connoisseur: The Paul J. Sachs Collection","1966-12-21","1967-03-05","Pavel Tchelitchew","American",74,1966,1,4550,50," Surrealism "," Surrealism "
"Members Collect","1967-03-27","1967-05-25","Pavel Tchelitchew","American",59,1967,1,4550,50," Surrealism "," Surrealism "
"American Drawings and Watercolors: A Selection from the Collection","1969-12-24","1970-03-01","Pavel Tchelitchew","American",67,1969,1,4550,50," Surrealism "," Surrealism "
"Four Americans in Paris: The Collections of Gertrude Stein and her Family","1970-12-19","1971-03-01","Pavel Tchelitchew","American",72,1970,1,4550,50," Surrealism "," Surrealism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Pavel Tchelitchew","American",161,1971,2,4550,50," Surrealism "," Surrealism "
"Drawn in America","1972-03-01","1972-05-29","Pavel Tchelitchew","American",89,1972,2,4550,50," Surrealism "," Surrealism "
"Painters for the Theatre: An Invitation to the Theatre Arts Collection","1973-11-19","1974-01-13","Pavel Tchelitchew","American",55,1973,2,4550,50," Surrealism "," Surrealism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Pavel Tchelitchew","American",87,1974,1,4550,50," Surrealism "," Surrealism "
"In the Twenties","1975-03-21","1975-06-15","Pavel Tchelitchew","American",86,1975,2,4550,50," Surrealism "," Surrealism "
"Recent Acquisitions: Drawings","1981-03-19","1981-06-02","Pavel Tchelitchew","American",75,1981,1,4550,50," Surrealism "," Surrealism "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","Pavel Tchelitchew","American",117,1988,1,4550,50," Surrealism "," Surrealism "
"Painters for the Theater","1989-07-14","1989-11-01","Pavel Tchelitchew","American",110,1989,1,4550,50," Surrealism "," Surrealism "
"What is Modern Painting?","1945-03-06","1945-03-25","Pierre Bonnard","French",19,1945,2,5309,38," Les Nabis "," Les Nabis "
"New Acquisitions: A Gift of Paintings from a Trustee","1941-05-06","1941-10-15","Pierre Bonnard","French",162,1941,1,5309,38," Les Nabis "," Les Nabis "
"Twentieth Century Portraits","1942-12-09","1943-01-24","Pierre Bonnard","French",46,1942,1,5309,38," Les Nabis "," Les Nabis "
"Modern Drawings","1944-02-16","1944-05-10","Pierre Bonnard","French",84,1944,3,5309,38," Les Nabis "," Les Nabis "
"Painting in Paris","1930-01-19","1930-03-02","Pierre Bonnard","French",42,1930,1,5309,38," Les Nabis "," Les Nabis "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Pierre Bonnard","French",145,1932,2,5309,38," Les Nabis "," Les Nabis "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Pierre Bonnard","French",82,1933,3,5309,38," Les Nabis "," Les Nabis "
"Color Reproductions: Modern Watercolors and Pastels","1934-08-13","1934-09-21","Pierre Bonnard","French",39,1934,2,5309,38," Les Nabis "," Les Nabis "
