"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"Painting and Sculpture by Living Americans","1930-12-03","1931-01-20","Charles Sheeler","American",48,1930,1,6351,16," Precisionism "," Precisionism "
"The Museum Collection of Painting and Sculpture","1945-06-20","1946-02-13","Charles Sheeler","American",238,1945,2,6351,16," Precisionism "," Precisionism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Charles Sheeler","American",75,1946,2,6351,16," Precisionism "," Precisionism "
"New Acquisitions: American Drawings","1942-02-18","1942-04-05","Charles Sheeler","American",46,1942,2,6351,16," Precisionism "," Precisionism "
"Americans 1943: Realists and Magic-Realists","1943-02-10","1943-03-21","Charles Sheeler","American",39,1943,2,6351,16," Precisionism "," Precisionism "
"Modern Drawings","1944-02-16","1944-05-10","Charles Sheeler","American",84,1944,3,6351,16," Precisionism "," Precisionism "
"American Acquisitions: Recent Additions of Prints to the Museum Collection","1959-04-02","1959-05-31","Charles Sheeler","American",59,1959,2,6351,16," Precisionism "," Precisionism "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","Charles Sheeler","American",137,1960,2,6351,16," Precisionism "," Precisionism "
"America Seen: Between The Wars","1961-04-25","1961-08-07","Charles Sheeler","American",104,1961,1,6351,16," Precisionism "," Precisionism "
"Selections from the Art Lending Service","1955-10-05","1955-10-24","Charles Sheeler","American",19,1955,1,6351,16," Precisionism "," Precisionism "
"Towards the ""New"" Museum of Modern Art: A Bid for Space IV","1963-02-21",NA,"Charles Sheeler","American",NA,1963,1,6351,16," Precisionism "," Precisionism "
"Drawings from the Museum Collections: A Selection","1964-05-27","1965-03-23","Charles Sheeler","American",300,1964,3,6351,16," Precisionism "," Precisionism "
"American Prints of the 20th Century","1954-09-08","1954-11-28","Charles Sheeler","American",81,1954,2,6351,16," Precisionism "," Precisionism "
"Fruit and Flower Paintings","1933-05-13","1933-05-31","Charles Sheeler","American",18,1933,1,6351,16," Precisionism "," Precisionism "
"Photographs from the Museum Collection","1958-11-26","1959-01-18","Charles Sheeler","American",53,1958,1,6351,16," Precisionism "," Precisionism "
"Drawn in America","1972-03-01","1972-05-29","Charles Sheeler","American",89,1972,2,6351,16," Precisionism "," Precisionism "
"Works on Paper","1973-03-07","1973-06-04","Charles Sheeler","American",89,1973,2,6351,16," Precisionism "," Precisionism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Charles Sheeler","American",33,1936,2,6351,16," Precisionism "," Precisionism "
"50 Photographs by 50 Photographers","1962-04-03","1962-05-15","Charles Sheeler","American",42,1962,1,6351,16," Precisionism "," Precisionism "
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Charles Sheeler","American",62,1934,1,6351,16," Precisionism "," Precisionism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Charles Sheeler","American",112,1935,1,6351,16," Precisionism "," Precisionism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Charles Sheeler","American",6,1941,3,6351,16," Precisionism "," Precisionism "
